model_name,class_id,class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support
all_channel_conv1d_small,0,Correct,0.6677069107006749,0.3478278640600612,0.7277777777777777,0.3606407192692774,0.6757345008376539,0.33227291900192535,360
all_channel_conv1d_small,1,Knee Valgus,0.8830509223891577,0.22875034868696706,0.9305555555555556,0.1510508458258058,0.8773080061846977,0.18041003695034222,360
all_channel_conv1d_small,2,Butt Wink,0.8228327730387975,0.17012419945932292,0.8972222222222221,0.1447912503324683,0.8328980509692098,0.09535992268547926,360
all_channel_conv1d_small,3,Excessive Lean,0.9005632449508276,0.12259918756601362,0.6444444444444445,0.39787242821764174,0.6373375799348329,0.3433575247610616,360
all_channel_conv1d_small,4,Partial Squat,0.9280423280423281,0.22989524539910533,0.8222222222222222,0.303325193215971,0.846923832720346,0.28066581070730523,360
all_channel_conv1d_v1,0,Correct,0.6115015699629115,0.4057262019041219,0.686111111111111,0.4300534706921001,0.6364260023249521,0.40548324056908125,360
all_channel_conv1d_v1,1,Knee Valgus,0.8498631070634184,0.2898003160025548,0.8666666666666667,0.3004626062886658,0.8208964097163598,0.2845525237473342,360
all_channel_conv1d_v1,2,Butt Wink,0.8318061461739623,0.15353271580621616,0.8472222222222222,0.18669063999496172,0.8083285569419901,0.09444591159033995,360
all_channel_conv1d_v1,3,Excessive Lean,0.8499312667597732,0.24108112574190038,0.7,0.32659863237109044,0.6693401722976865,0.2597764504455408,360
all_channel_conv1d_v1,4,Partial Squat,0.9172679172679172,0.23996766428604965,0.8194444444444444,0.3258062174944252,0.8307058522275581,0.29946376579836503,360
channel_shared_attentionpool_v2,0,Correct,0.2734319770673402,0.27650248890157597,0.2611111111111111,0.28262438537726453,0.22370675426642173,0.2139127597061066,360
channel_shared_attentionpool_v2,1,Knee Valgus,0.35115929241461563,0.3515650914684824,0.3416666666666667,0.3852308110442073,0.2459731773852248,0.22150037068430903,360
channel_shared_attentionpool_v2,2,Butt Wink,0.5754228844264309,0.33502825827667887,0.4083333333333333,0.40354333376010837,0.32804155364330384,0.275344142380111,360
channel_shared_attentionpool_v2,3,Excessive Lean,0.21637666980804235,0.24441203432940597,0.19166666666666668,0.2274557343992697,0.16635081236706306,0.17373211430427948,360
channel_shared_attentionpool_v2,4,Partial Squat,0.5731109482053377,0.32097978446653863,0.6944444444444444,0.3511445131791219,0.6038869780043448,0.3008495997714687,360
channel_shared_meanpool_v2,0,Correct,0.1492260689742831,0.21873886277895668,0.1111111111111111,0.14771928667009257,0.12429700018683591,0.1720373263507656,360
channel_shared_meanpool_v2,1,Knee Valgus,0.09898713445467465,0.17631015800151564,0.175,0.3056186803482041,0.12192554618547907,0.21008524452939523,360
channel_shared_meanpool_v2,2,Butt Wink,0.5338035079648724,0.27507409600848626,0.7166666666666667,0.35823642100341124,0.44986846783990014,0.1837442927969019,360
channel_shared_meanpool_v2,3,Excessive Lean,0.08250885980771039,0.13518837326063238,0.09166666666666666,0.1717960677340692,0.08401343431447428,0.14998346957340794,360
channel_shared_meanpool_v2,4,Partial Squat,0.4729167479251062,0.41055515153665706,0.49166666666666675,0.4318082136010539,0.3980050127699417,0.31715314401556105,360
channel_shared_posres_attention_v3,0,Correct,0.7452544069687703,0.26045562714677456,0.7944444444444444,0.2985561965009867,0.7207439772671596,0.26182803378994424,360
channel_shared_posres_attention_v3,1,Knee Valgus,0.8738969984128917,0.16388210262857078,0.922222222222222,0.11811273125260721,0.8790428662116274,0.10618793655913135,360
channel_shared_posres_attention_v3,2,Butt Wink,0.895444170934367,0.12103182060117348,0.7777777777777779,0.17177360926378119,0.8093200307177422,0.1059313340283814,360
channel_shared_posres_attention_v3,3,Excessive Lean,0.8710224686026259,0.13552729750926315,0.6888888888888889,0.27159792359067375,0.7184326112718341,0.17522339288823013,360
channel_shared_posres_attention_v3,4,Partial Squat,0.9510641091286254,0.1001651718332433,0.9249999999999999,0.1356568383008309,0.9265845839084366,0.09550891800686617,360
cnn2d_baseline_v1,0,Correct,0.28683303203363597,0.33129861397359234,0.18888888888888888,0.23778816176702994,0.1972326806563482,0.24561515254412955,360
cnn2d_baseline_v1,1,Knee Valgus,0.37927174219397314,0.33074304609919497,0.5333333333333333,0.4301162633521313,0.36245122942235825,0.2601625388343372,360
cnn2d_baseline_v1,2,Butt Wink,0.6864072219064759,0.2858903892750425,0.44166666666666665,0.4073116469949979,0.3621852188323113,0.25412564574158897,360
cnn2d_baseline_v1,3,Excessive Lean,0.4602533644727456,0.2660737897080492,0.5027777777777778,0.41347854378775145,0.39366808909260476,0.27082169137803613,360
cnn2d_baseline_v1,4,Partial Squat,0.5841296171948879,0.4099512137192426,0.5694444444444444,0.4173790206917212,0.5286348610714922,0.36242430110944884,360
modality_shared_sensorattn_v3,0,Correct,0.40083367025162253,0.32971540174120506,0.41666666666666674,0.3782268572636739,0.3538440655188856,0.2923187145830134,360
modality_shared_sensorattn_v3,1,Knee Valgus,0.7294893798555706,0.37820547020036605,0.7805555555555554,0.357125440492432,0.6866833986418814,0.3541355251198275,360
modality_shared_sensorattn_v3,2,Butt Wink,0.8787240549529618,0.17947615880291024,0.6611111111111111,0.2899020694588833,0.6835360747015747,0.19521780326445373,360
modality_shared_sensorattn_v3,3,Excessive Lean,0.4899540546416884,0.3280189572826202,0.5249999999999999,0.4007804885470349,0.4548337601000867,0.3181278533464665,360
modality_shared_sensorattn_v3,4,Partial Squat,0.8833117712428058,0.2397736521159768,0.8388888888888889,0.29653346989072266,0.8328487147095756,0.27476568018397446,360
