reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
all_channel_conv1d_v1,all_channel_conv1d_small,macro_f1,0.020900995427638767,0.13341764236160691,-0.033416198484440156,0.08679413478592868,18
all_channel_conv1d_v1,channel_shared_attentionpool_v2,macro_f1,-0.4395475435684377,0.18050397365181792,-0.521771411392469,-0.3540111494981243,18
all_channel_conv1d_v1,channel_shared_meanpool_v2,macro_f1,-0.517517506442383,0.16444461373598,-0.5943272094893461,-0.4392206879254626,18
all_channel_conv1d_v1,channel_shared_posres_attention_v3,macro_f1,0.057685415173650584,0.1932238403280783,-0.025067051840146303,0.1511186458605595,18
all_channel_conv1d_v1,cnn2d_baseline_v1,macro_f1,-0.3843049828866864,0.20270277358444433,-0.4790713839247659,-0.29016953456608063,18
all_channel_conv1d_v1,modality_shared_sensorattn_v3,macro_f1,-0.15079019596730853,0.2337762593398802,-0.262502123197814,-0.045179168959870585,18
all_channel_conv1d_small,all_channel_conv1d_v1,macro_f1,-0.020900995427638767,0.13341764236160691,-0.08679413478592868,0.03341619848444015,18
all_channel_conv1d_small,channel_shared_attentionpool_v2,macro_f1,-0.4604485389960764,0.19134855706344872,-0.5447921476674191,-0.3683902193928068,18
all_channel_conv1d_small,channel_shared_meanpool_v2,macro_f1,-0.5384185018700218,0.1344800013552195,-0.6012542644769938,-0.4762448302582805,18
all_channel_conv1d_small,channel_shared_posres_attention_v3,macro_f1,0.036784419746011814,0.15261734650097786,-0.031942088911489176,0.10972734928149058,18
all_channel_conv1d_small,cnn2d_baseline_v1,macro_f1,-0.40520597831432514,0.17087633259811297,-0.48544301872059803,-0.3261932397225915,18
all_channel_conv1d_small,modality_shared_sensorattn_v3,macro_f1,-0.1716911913949473,0.25661924145814685,-0.2941576271445253,-0.056819667555229186,18
channel_shared_posres_attention_v3,all_channel_conv1d_small,macro_f1,-0.036784419746011814,0.15261734650097786,-0.10972734928149058,0.03194208891148915,18
channel_shared_posres_attention_v3,all_channel_conv1d_v1,macro_f1,-0.057685415173650584,0.1932238403280783,-0.15111864586055954,0.025067051840146293,18
channel_shared_posres_attention_v3,channel_shared_attentionpool_v2,macro_f1,-0.49723295874208834,0.14471806864198825,-0.5607163173228636,-0.4274216893274321,18
channel_shared_posres_attention_v3,channel_shared_meanpool_v2,macro_f1,-0.5752029216160337,0.12462588725606363,-0.6323575028817023,-0.5172576229260464,18
channel_shared_posres_attention_v3,cnn2d_baseline_v1,macro_f1,-0.44199039806033696,0.17036811407836336,-0.5206356669162168,-0.36392134350442223,18
channel_shared_posres_attention_v3,modality_shared_sensorattn_v3,macro_f1,-0.2084756111409591,0.18953041856995065,-0.2984558481361107,-0.12490370502665173,18
