model_name,total_params,encoder_params,aggregation_params,head_params,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,macro_f1_ci_low,macro_f1_ci_high,mean_best_epoch,n_success_runs,n_failed_runs,result_type,rank_by_macro_f1
channel_shared_posres_attention_v3,14742,2064,8193,4485,0.8216666666666668,0.08394773506308685,0.81082481387536,0.09561278754006769,0.81082481387536,0.09561278754006769,0.7644350120236636,0.8536918539514888,37.611111111111114,18,0,locked_3seed_full,1
channel_shared_posres_meanpool_v3_no_attention,14197,2064,7648,4485,0.8161111111111112,0.11131231782136886,0.8082207306853612,0.12258357310058857,0.8082207306853612,0.12258357310058858,0.7470583328306452,0.8602587330084919,32.72222222222222,18,0,v3_component_ablation_3seed_full,2
channel_shared_posres_attention_v3_residual_only_mlp,9189,0,0,2437,0.8111111111111112,0.1035422022864155,0.8035996113277815,0.11303229810423013,0.8035996113277815,0.11303229810423013,0.7488314223017043,0.8530115984885613,36.05555555555556,18,0,v3_component_ablation_3seed_full,3
feature_random_forest_v1,0,0,0,0,0.8055555555555555,0.09563949801335699,0.7845249924781911,0.1127832048348814,0.7845249924781912,0.11278320483488143,0.7317878001513041,0.8376471239011969,0.0,18,0,literature_extension_3seed_full,4
all_channel_conv1d_small,4181,4056,0,125,0.8044444444444445,0.1207946936942652,0.7740403941293481,0.15003005382963938,0.7740403941293481,0.15003005382963938,0.7025691524476092,0.842422439652029,26.0,18,0,locked_3seed_full,5
rescnn_bigru_attention_lite_v1,38934,22432,1585,2245,0.7944444444444444,0.09945530666933443,0.7691308145395062,0.12808431577741966,0.7691308145395062,0.12808431577741966,0.7076484203493665,0.8269764709391504,18.0,18,0,literature_extension_3seed_full,6
channel_shared_posres_attention_v3_no_identity,13910,2064,7361,4485,0.7816666666666667,0.10018039284765813,0.7674576626717379,0.11912448549831615,0.7674576626717379,0.11912448549831617,0.7112379886681212,0.8195476683329632,38.55555555555556,18,0,v3_component_ablation_3seed_full,7
all_channel_conv1d_v1,16037,15712,0,325,0.783888888888889,0.1781740375428502,0.7531393987017094,0.20875422275948866,0.7531393987017094,0.2087542227594886,0.650168423737199,0.8429069579155765,17.72222222222222,18,0,locked_3seed_full,8
channel_shared_posres_attention_v3_no_residual,5942,2064,1441,2437,0.6261111111111112,0.17515513406022193,0.5937198740587896,0.1956182379603871,0.5937198740587896,0.1956182379603871,0.49984587159414406,0.6842315043326749,74.94444444444444,18,0,v3_component_ablation_3seed_full,9
